가중치가 적용된 열전도도 표준편차,가중치가 적용된 제1이온화 에너지 표준편차,전자 친화도 엔트로피,가중치가 적용된 원자량의 범위,가중치가 적용된 열전도도 범위,평균 전자 친화도,가중치가 적용된 밀도 범위,가중치가 적용된 기하평균 제1이온화 에너지,기하평균 원자 반지름,기하평균 원자량,평균 열전도도,밀도 표준편차,가중치가 적용된 평균 전자 친화도,가중치가 적용된 기하평균 전자 친화도,가중치가 적용된 원자 반지름 범위,EC
very high,,,17.88514965,96.34948334,58.95730945,2108.239631,940.1146448,146.9910579,,-295.5920541,3190.8841,,91.76614703,38.65436546,Intermediate
high,high,,196.5209675,,62.84939716,,936.1339846,156.7630896,,,3019.297658,91.76309262,,,Intermediate
low,medium,medium,,20.22789368,,,,302.0134401,,-290.466524,19188.276,63.27909632,65.2291096,,Intermediate
very low,very low,very low,287.2371881,2.75,49.615,,1605.622725,176.9660984,,21.5,-4382.180562,,47.75711639,52.5,Simple
very high,very high,medium,,365.2618029,73.71858317,3044.50742,945.5292119,270.7941067,57.62729663,120.583189,,-26.97381936,,21.9153121,Intermediate
very high,high,,,373.0834234,75.0075,,924.2723072,253.6206047,-93.74509308,-235.3498647,3266.835175,104.70025,70.98703941,22.425,Intermediate
high,,,245.7942869,71.19479734,,-4326.130739,,,318.9196555,-203.0846935,-2623.923307,-7.201908961,45.73425304,350.0763908,Complex
,very high,medium,7.817020341,84.00963834,344.9935082,1382.987089,1314.580787,146.2071304,,99.96052158,3975.572477,109.2467906,,,Intermediate
,medium,,34.39795839,,66.45790886,,671.8201088,,64.22091211,-280.8463824,3918.81262,52.43977124,37.0102857,,Intermediate
very high,,,21.74277434,94.2925443,,,924.1785006,140.9452285,59.22342104,105.205316,3414.488945,107.7218123,216.7851979,-254.345117,Intermediate
very low,,low,180.0753379,,230.2028885,7630.171404,1692.743036,,81.91218119,53.98798529,-11151.33218,392.7487364,,113.4292424,Simple
very low,medium,very high,34.48888746,,,1968.4788,1554.327815,93.89232876,41.97791915,,3117.916894,-201.8835446,,48.225,Complex
medium,medium,medium,7.11704519,13.10207317,87.60395183,,955.2088348,358.1637193,,236.2825571,,-155.6953968,109.6404526,46.0508699,Intermediate
,low,low,202.9443191,,320.5132886,7118.121743,782.7245672,,101.253878,106.6848069,,379.2694499,19.34165966,36.30516446,Simple
,,,125.4334436,51.59002738,341.0603848,,1482.202245,150.5496106,,102.4711392,4379.310793,94.8990904,71.71374715,-86.18631283,Complex
very high,,high,13.80453332,,,,,,-68.38218677,,,420.7004358,42.90898796,37.468826,Complex
,high,,278.0803714,53.57205778,,,940.4740243,141.8343418,40.38844121,,,-236.2283595,83.71127418,30.17643527,Complex
very high,medium,,11.46648714,173.0930596,69.06627585,-21353.29694,916.5345586,161.0849388,,-255.6193416,15036.96121,-104.3822248,97.53972992,,Complex
,high,medium,115.9479182,,62.564,2066.922846,1619.890707,148.5844874,54.8727651,127.005316,,108.7503077,83.8088591,35.93846154,Intermediate
very low,medium,medium,-105.2963682,17.09194551,,2579.296602,1286.241652,96.34838096,300.3963352,39.19412324,106.184557,,66.65094365,,Complex
,very high,high,35.78341862,90.85300395,,2095.899341,1272.52494,139.1654467,139.4848198,109.884033,3091.661652,105.4333936,92.39345926,,Intermediate
low,,,27.63059096,-298.2921009,267.5525129,3473.535443,826.0035481,129.2313974,16.62762184,30.67304448,,,30.57013818,,Intermediate
medium,,very high,,,,,,,54.77657669,98.42410808,3738.834804,107.6767853,66.62847889,,Complex
high,high,,14.54326044,22.30125898,90.56582502,,944.843755,106.6287387,59.85562829,81.17724828,2742.80197,,305.8892244,,Intermediate
high,high,very high,,,59.98584619,,,135.4928958,59.34547506,,3938.288996,89.9108692,73.81949606,,Complex
medium,,low,13.49167827,29.46067069,279.9651584,4694.6063,862.7140051,113.4373782,,,,,53.22302974,,Simple
,very high,medium,22.26838513,225.9589167,,2504.539022,,142.9282163,,106.7321065,-12242.47554,,92.41345347,33.36677213,Intermediate
high,medium,very high,-171.8455758,228.2911835,64.79,,710.3738177,154.7143077,95.93645132,,,64.93875,342.073289,,Complex
medium,very high,very high,207.6547286,70.07217609,66.67945435,2405.191218,941.2346897,,71.58466681,102.8059299,3525.116493,,,25.95210035,Complex
very high,very high,high,,348.2930856,55.71722986,20826.25329,934.7668289,,63.27200678,100.8399454,,-109.1236414,,378.2483731,Intermediate
very high,medium,high,,101.9388321,63.78666667,,976.6627619,,178.7393936,108.00443,,117.3474936,96.51616074,30.33135089,Complex
,,,3.650729894,32.06460875,,10651.3106,,,19.58291124,40.35835515,3235.29508,,,378.5359693,Simple
,medium,,65.18650471,286.7749954,59.31955164,2408.087432,,255.3054906,-57.74463864,441.2069384,,72.17392556,306.8231464,39.62182794,Intermediate
very high,high,,23.20338861,-314.5860093,,2729.616743,942.044974,161.4610304,-57.91019878,,1858.929209,106.1850355,114.4266501,36.68745905,Complex
very low,,medium,-127.7844201,28.9480652,179.6948443,3597.892836,728.2442068,262.5870028,62.44291495,,2366.99499,,,,Intermediate
,medium,very high,,491.0880966,310.1761971,,1223.888479,110.1593327,-235.8358201,92.92250438,17270.87509,241.2349172,,,Complex
